Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,84.908,87.485,91.746,95.077,96.323,100,104.513,112.947,121.932,134.107,140.089,142.855
Índice de precios implícitos|Total cultura|Gestión pública en actividades culturales,75.58,79.791,83.925,89.506,95.149,100,106.665,111.237,114.38,118.18,124.612,126.256
Índice de precios implícitos|Total cultura|Gestión pública en actividades culturales|Administración federal,76.786,81.114,84.141,89.691,94.631,100,107.193,112.09,113.668,117.822,125.562,126.17
Índice de precios implícitos|Total cultura|Gestión pública en actividades culturales|Administración estatal,73.945,78.018,83.629,89.252,95.86,100,106.072,110.254,115.171,118.563,123.584,126.346
Índice de precios implícitos|Total cultura|Asociaciones y organizaciones civiles,86.942,90.181,93.768,96.146,98.415,100,103.932,107.445,111.182,115.93,120.543,124.172
Índice de precios implícitos|Total cultura|Producción cultural de los hogares,78.485,82.471,87.34,92.495,96.223,100,104.221,109.583,116.74,124.313,129.044,135.734
Variación anual|Total cultura,NA,4.112,2.538,0.818,-0.934,1.376,1.041,-4.46,-5.751,1.404,2.274,1.329
Variación anual|Total cultura|Subtotal de bienes y servicios,NA,3.588,1.789,-0.556,-2.552,0.547,-0.026,-6.854,-8.616,0.418,1.713,0.653
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,NA,5.601,3.244,4.752,4.742,3.127,3.77,2.851,5.114,5.571,4.458,4.162
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,NA,8.129,1.259,6.68,4.885,3.292,3.396,5.144,6.401,6.55,5.165,4.536
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,NA,5.005,3.589,7.009,4.791,3.368,4.014,4.574,6.152,6.877,5.075,4.981
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,NA,14.031,-29.201,6.521,3.073,14.125,-0.658,3.471,15.489,9.27,8.844,0.18
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,NA,33.066,-15.011,0.561,3.442,4.297,-4.011,8.626,7.007,0.991,7.47,0.404
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",NA,4.683,4.772,3.062,4.286,3.866,4.569,8.634,11.214,25.731,3.359,0.14
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,NA,9.224,7.812,8.299,2.058,5.872,3.443,8.02,9.779,5.003,2.311,3.202
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",NA,12.277,1.919,11.85,8.949,0.386,5.513,6.889,5.641,-1.449,4.487,6.542
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",NA,2.411,4.184,6.02,3.476,2.686,1.785,2.647,6.688,3.357,3.377,5.086
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,NA,4.118,4.423,3.642,4.656,3.031,3.979,1.571,4.395,5.01,4.08,3.858
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,NA,5.778,5.652,5.723,5.721,1.438,1.274,3.029,2.505,4.476,5.327,5.622
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",NA,4.132,4.784,3.196,3.739,3.798,3.847,2.168,3.13,5.622,4.512,3.81
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,NA,3.724,9.679,1.212,5.052,1.45,2.371,2.448,0.783,-0.035,0.41,7.994
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",NA,4.757,6.503,2.498,6.007,6.568,2.462,1.567,2.301,3.033,3.876,6.683
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",NA,8.159,4.486,1.643,2.34,3.5,-0.436,-0.133,4.191,5.508,1.732,0.037
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,NA,3.974,4.384,4.709,4.787,4.847,4.087,4.252,3.616,3.76,4.722,4.892
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,NA,1.997,5.398,5.509,4.229,2.7,4.258,2.035,4.713,2.231,7.501,5.237
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,NA,3.986,2.194,2.132,4.155,1.118,2.679,2.6,2.97,4.463,4.132,2.066
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",NA,6.21,2.936,4.852,2.763,2.466,-0.682,3.184,6.054,4.388,5.933,2.192
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,NA,5.961,5.746,1.444,3.79,5.351,4.071,2.235,4.109,5.673,3.41,6.035
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",NA,3.734,8.364,1.841,3.963,5.987,2.119,0.075,1.423,5.137,8.428,5.596
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),NA,2.925,6.558,3.208,5.92,3.369,5.933,2.73,1.944,3.176,2.343,4.112
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,NA,3.557,2.172,4.166,5.105,0.689,4.509,3.815,2.372,6.576,3.345,2.78
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",NA,0.911,0.799,-3.481,3.174,-3.721,3.515,4.852,9.352,11.626,1.705,-0.411
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",NA,7.949,4.085,-0.141,3.284,-1.003,14.227,6.234,1.159,4.392,8.92,6.152
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,NA,4.072,5.22,5.515,5.89,5.826,6.577,-3.563,12.158,7.119,6.726,4.901
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,NA,1.042,1.025,-4.301,-8.163,-1.473,-3.022,-13.838,-17.891,-2.944,0.371,-1.017
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,NA,11.372,3.136,4.068,5.345,6.744,-0.24,12.996,4.293,3.843,5.444,2.985
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,NA,16.978,-1.832,5.152,5.346,11.077,-2.006,14.501,2.526,1.31,4.192,5.149
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",NA,7.283,7.218,3.224,5.583,3.219,1.384,11.639,5.82,5.543,6.386,1.454
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,NA,0.968,1.016,-4.352,-8.269,-1.536,-3.044,-14.025,-18.055,-2.966,0.344,-1.006
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",NA,4.355,3.556,2.103,-2.458,3.871,-0.441,10.146,0.855,5.052,4.315,3.379
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",NA,3.837,4.011,2.566,2.084,2.468,2.679,1.959,1.861,2.448,2.52,2.245
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Comercio de productos culturales,NA,5.498,-3.887,6.759,10.794,0.272,0.922,9.119,7.368,6.156,3.107,2.677
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",NA,3.533,1.366,2.937,5.442,3.206,4.747,2.376,2.342,3.122,3.109,3.927
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),NA,-2.685,2.853,-7.922,-15.41,-2.414,-4.404,-20.762,-25.024,-4.988,-0.558,-1.657
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",NA,5.058,3.238,2.246,6.009,3.156,0.62,8.481,0.845,2.698,2.099,3.242
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,NA,6.513,6.419,6.263,4.269,4.875,2.549,1.42,0.479,1.923,4.071,6.851
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,NA,3.035,4.871,3.631,1.311,3.817,4.513,8.07,7.955,9.985,4.461,1.974
Variación anual|Total cultura|Gestión pública en actividades culturales,NA,5.572,5.181,6.65,6.305,5.098,6.665,4.286,2.825,3.322,5.443,1.319
Variación anual|Total cultura|Gestión pública en actividades culturales|Administración federal,NA,5.636,3.732,6.596,5.508,5.674,7.193,4.568,1.408,3.655,6.569,0.484
Variación anual|Total cultura|Gestión pública en actividades culturales|Administración estatal,NA,5.508,7.192,6.724,7.404,4.319,6.072,3.943,4.46,2.945,4.235,2.235
Variación anual|Total cultura|Asociaciones y organizaciones civiles,NA,3.725,3.978,2.536,2.36,1.611,3.932,3.38,3.478,4.27,3.979,3.011
Variación anual|Total cultura|Producción cultural de los hogares,NA,5.079,5.904,5.902,4.03,3.925,4.221,5.145,6.531,6.487,3.806,5.184
