Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",1.54,1.582,1.577,1.6,1.562,1.543,1.488,1.451,1.523,1.606,1.681,1.681
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,0.141,0.148,0.141,0.144,0.146,0.147,0.149,0.146,0.137,0.135,0.132,0.135
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",0.441,0.443,0.451,0.446,0.399,0.403,0.385,0.39,0.377,0.37,0.345,0.358
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),3.046,3.096,3.015,2.967,2.934,2.944,2.915,2.865,2.755,2.707,2.922,2.861
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,6.244,6.305,6.125,6.061,6.05,5.964,5.942,6.103,6.15,6.047,6.03,6.085
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",0.259,0.262,0.249,0.24,0.236,0.232,0.23,0.215,0.195,0.166,0.162,0.16
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",0.238,0.252,0.238,0.229,0.233,0.223,0.214,0.207,0.202,0.193,0.189,0.19
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,2.381,2.46,2.476,2.593,2.596,2.543,2.558,2.56,2.497,2.292,2.306,2.241
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,15.629,15.967,15.746,16.017,16.057,16.022,16.158,16.051,15.949,15.594,15.65,15.907
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,0.441,0.428,0.432,0.437,0.423,0.406,0.423,0.421,0.446,0.441,0.455,0.47
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,0.209,0.207,0.207,0.211,0.201,0.194,0.199,0.202,0.221,0.218,0.233,0.244
