Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",0.22,0.227,0.206,0.202,0.201,0.198,0.197,0.183,0.166,0.14,0.133,0.131
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",0.157,0.165,0.156,0.15,0.158,0.143,0.145,0.138,0.141,0.131,0.129,0.131
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,0.666,0.648,0.674,0.705,0.67,0.656,0.665,0.653,0.65,0.596,0.599,0.54
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,16.655,17.145,16.818,17.076,16.888,16.625,16.798,16.458,16.254,15.779,15.86,16.154
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,0.555,0.546,0.543,0.563,0.538,0.494,0.519,0.515,0.512,0.506,0.516,0.523
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,0.266,0.268,0.268,0.273,0.256,0.247,0.255,0.248,0.244,0.24,0.244,0.244
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",0.289,0.278,0.275,0.29,0.282,0.248,0.265,0.267,0.269,0.266,0.272,0.278
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,16.1,16.598,16.275,16.513,16.35,16.13,16.278,15.943,15.742,15.273,15.344,15.631
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",0.09,0.094,0.095,0.097,0.098,0.111,0.112,0.112,0.115,0.111,0.121,0.127
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",0.1,0.099,0.088,0.091,0.092,0.085,0.084,0.083,0.085,0.086,0.09,0.094
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Comercio de productos culturales,7.559,7.635,7.765,7.948,7.951,7.856,7.81,7.613,7.621,7.451,7.516,7.732
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",1.649,1.651,1.628,1.616,1.606,1.614,1.587,1.552,1.508,1.491,1.555,1.545
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),5.99,6.397,6.007,6.065,5.93,5.808,6.021,5.924,5.763,5.482,5.365,5.398
"Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",0.637,0.648,0.618,0.62,0.599,0.583,0.59,0.59,0.583,0.586,0.63,0.665
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,0.01,0.011,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.01
Estructura porcentual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,0.064,0.064,0.064,0.065,0.063,0.063,0.062,0.059,0.056,0.056,0.059,0.06
Estructura porcentual|Total cultura|Gestión pública en actividades culturales,11.157,11.646,11.617,11.803,12.186,11.511,11.511,11.207,11.016,10.673,10.674,10.576
Estructura porcentual|Total cultura|Gestión pública en actividades culturales|Administración federal,5.928,6.151,6.167,6.213,6.688,6.149,5.97,5.739,5.611,5.468,5.493,5.346
Estructura porcentual|Total cultura|Gestión pública en actividades culturales|Administración estatal,5.23,5.495,5.45,5.59,5.498,5.362,5.54,5.467,5.405,5.206,5.181,5.231
Estructura porcentual|Total cultura|Asociaciones y organizaciones civiles,0.121,0.126,0.12,0.119,0.115,0.111,0.122,0.12,0.115,0.112,0.122,0.126
Estructura porcentual|Total cultura|Producción cultural de los hogares,1.311,1.061,1.23,1.555,1.845,1.934,1.512,1.531,1.539,1.53,1.566,1.639
Variación anual|Total cultura,NA,-4.329,0.811,0.876,2.637,2.238,-0.044,2.935,1.421,2.536,0.138,-2.15
Variación anual|Total cultura|Subtotal de bienes y servicios,NA,-4.594,0.655,0.285,1.844,2.939,0.433,3.275,1.639,2.953,0.085,-2.128
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,NA,-5.319,1.088,-0.228,1.927,3.501,0.299,3.855,1.982,3.733,-0.039,-2.523
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,NA,-7.436,1.805,-0.742,2.394,4.629,0.685,5.071,2.574,4.793,-0.686,-3.572
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,NA,-7.002,4.316,-0.286,3.757,2.305,0.051,5.669,2.784,5.034,-0.797,-3.762
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,NA,-19.355,-37.333,-8.511,-6.977,-93.75,2840,0,1.361,8.054,3.727,0.599
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,NA,-25.626,-42.931,15.502,-4.33,111.685,3.625,-0.327,1.121,7.362,4.927,1.684
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",NA,17.684,-6.942,-70.853,11.231,39.417,-4.666,7.816,5.014,-0.581,3.31,1.445
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,NA,-5.609,-1.9,0.466,-5.711,-5.514,3.918,-4.139,7.756,7.3,3.187,-2.605
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",NA,-1.548,-5.608,-4.868,-19.185,-3.119,12.179,0.093,-2.066,-4.886,-7.063,-7.344
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",NA,-7.214,3.659,-4.853,3.864,-9.673,-1.318,-2.337,-0.855,2.931,-6.03,-4.278
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,NA,-1.231,-0.21,0.722,1.079,1.421,-0.434,1.518,0.805,1.587,1.312,-0.374
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,NA,0.271,0,3.374,1.044,2.584,3.526,0.122,2.187,1.07,1.059,0.466
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",NA,0.748,0.967,0.958,1.305,1.142,0.781,0.983,1.145,1.058,0.958,0.952
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,NA,-2.058,-3.614,4.971,-3.594,12.857,1.239,8.859,8.519,7.007,-1.28,5.76
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",NA,0.671,1,0.825,0.982,0.972,0.963,1.113,1.101,0.933,1.233,1.065
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",NA,-1.025,-1.036,1.393,0.953,-1.475,-2.143,-0.992,-2.584,-3.531,-3.249,-1.613
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,NA,1.081,2.72,0.778,2.296,0.836,-0.787,-0.683,1.737,2.492,3.516,0.527
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,NA,-1.821,2.412,-4.589,-0.57,-4.169,-3.952,1.176,-1.948,5.054,0.995,5.42
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,NA,-3.301,1.566,-0.925,-0.83,0,0.335,0.167,-0.448,3.608,8.256,1.054
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",NA,-0.888,2.235,1.107,0.164,0.738,-6.076,0.01,6.122,12.544,1.644,-0.563
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,NA,1.016,-3.552,3.336,4.842,2.502,1.377,0.679,-4.047,0.703,0.19,0
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",NA,-2.915,1.585,0,-7.307,-0.827,-4.287,-2.333,-4.395,0.4,-4.977,0.384
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),NA,-1.496,-0.626,-0.799,1.894,3.203,-1.797,0.198,-2.096,1.898,4.701,-3.301
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,NA,-2.25,-2.014,0.138,2.454,0.657,1.039,3.732,0.644,0.428,0.637,-1.053
