Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,NA,3.402,2.158,7.395,5.729,4.276,4.48,4.44,5.375,6.693,4.15,4.98
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,NA,11.67,-30.221,10.495,6.769,15.666,-1.737,3.969,18.884,9.118,6.418,2.058
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,NA,36.494,-12.01,-2.969,7.601,1.556,-3.69,10.726,10.724,-1.41,4.542,0.819
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",NA,6.034,3.428,3.82,3.904,3.736,3.286,9.072,8.99,23.713,1.284,0.956
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,NA,7.432,6.061,9.056,2.057,9.074,1.221,7.121,5.012,5.003,2.31,0.696
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",NA,9.879,-0.607,8.49,7.475,-5.22,5.671,4.703,6.228,-2.626,4.587,6.517
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",NA,1.904,4.187,4.721,0.33,1.158,0.471,0.811,7.563,2.686,2.956,3.81
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,NA,4.775,3.815,2.745,3.755,2.372,2.89,3.533,3.468,4.211,4.178,4.179
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,NA,4.604,2.778,2.041,1.725,1.343,3.4,2.514,3.302,4.568,4.016,3.611
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",NA,6.301,3.324,2.691,2.767,1.991,2.803,4.371,5.066,4.805,3.472,3.697
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,NA,4.721,6.847,1.516,3.311,1.484,2.853,4.106,3.254,2.296,3.722,5.613
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",NA,5.666,4.423,2.107,3.754,1.597,3.052,3.653,5.364,4.76,3.557,3.898
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",NA,7.216,3.856,2.47,2.852,2.351,3.37,2.647,4.019,4.714,4.582,3.645
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,NA,4.89,4.266,3.356,3.633,3.48,3.603,3.583,4.86,5.507,4.538,3.923
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,NA,7.754,4.065,3.185,3.297,3.18,2.922,2.425,5.864,3.869,4.299,4.328
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,NA,3.161,3.141,2.29,3.515,1.328,2.789,3.106,2.56,4.406,3.208,2.882
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",NA,4.174,2.505,0.856,0.993,0.187,2.863,5.128,3.822,4.356,3.75,2.999
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,NA,5.096,5.05,3.349,2.543,2.308,1.194,5.619,2.984,3.638,4.03,3.549
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",NA,5.261,5.343,2.484,2.845,2.51,2.94,3.246,3.426,4.825,4.131,4.416
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),NA,4.981,4.578,2.968,4.475,3.341,2.711,3.818,3.026,3.517,4.276,3.715
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,NA,4.047,2.911,2.817,4.21,0.832,2.442,3.011,3.176,4.591,3.407,3.73
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",NA,0.951,1.266,-2.515,2.158,1.462,3.179,3.308,3,1.971,4.649,3.486
